ST_NM,Value
Arunachal Pradesh,Null
Assam,Null
Chandigarh,Null
Karnataka,Null
Manipur,Null
Meghalaya,Null
Mizoram,Null
Nagaland,Null
Punjab,Null
Rajasthan,Null
Sikkim,Null
Tripura,Null
Uttarakhand,Null
Telangana,Null
Bihar,Null
Kerala,Null
Madhya Pradesh,Null
Andaman & Nicobar,Null
Gujarat,Null
Lakshadweep,Null
Odisha,Null
Dadra and Nagar Haveli and Daman and Diu,Null
Jammu & Kashmir,Null
Chhattisgarh,Null
Delhi,Null
Goa,Null
Haryana,Null
Himachal Pradesh,Null
Jharkhand,Null
Tamil Nadu,Null
Uttar Pradesh,Null
West Bengal,Null
Andhra Pradesh,Null
Puducherry,Null
Maharashtra,Null
Ladakh,Null
