ST_NM,Value
Andaman & Nicobar Island,Null
Manipur,Null
Punjab,Null
Uttarakhand,Null
Goa,Null
Uttar Pradesh,Null
Andhra Pradesh,Null
Arunanchal Pradesh,Null
Assam,Null
Bihar,Null
Chandigarh,Null
Chhattisgarh,Null
Dadara & Nagar Havelli,Null
Daman & Diu,Null
Gujarat,Null
Haryana,Null
Himachal Pradesh,Null
Jammu & Kashmir,Null
Jharkhand,Null
Karnataka,Null
Kerala,Null
Lakshadweep,Null
Madhya Pradesh,Null
Maharashtra,Null
Meghalaya,Null
Mizoram,Null
Nagaland,Null
NCT of Delhi,Null
Puducherry,Null
Rajasthan,Null
Sikkim,Null
Tamil Nadu,Null
Telangana,Null
Tripura,Null
West Bengal,Null
Odisha,Null
