,Party,State_Name,count,Assembly_No,Party_Seat,total,Party_Seat_Percentage
0,BJP,Goa,5,7,13,40,32.5
1,BJP,Manipur,5,12,21,60,35.0
2,BJP,Punjab,5,15,3,117,2.56
3,BJP,Uttar Pradesh,5,17,312,403,77.42
4,BJP,Uttarakhand,5,4,57,70,81.43
5,INC,Goa,5,7,17,40,42.5
6,INC,Manipur,5,12,28,60,46.67
7,INC,Punjab,5,15,77,117,65.81
8,INC,Uttar Pradesh,5,17,7,403,1.74
9,INC,Uttarakhand,5,4,11,70,15.71
10,IND,Goa,2,7,3,40,7.5
11,IND,Uttarakhand,2,4,2,70,2.86
