State,Party,Seats won,Total seats,Seat share percentage
Goa,INC,17,40,42.5
Manipur,INC,28,60,46.67
Punjab,INC,77,117,65.81
Uttar Pradesh,INC,7,403,1.74
Uttarakhand,INC,11,70,15.71
