State,Party,Seats won,Total seats,Seat share percentage
Goa,BJP,13,40,32.5
Manipur,BJP,21,60,35
Punjab,BJP,3,117,2.56
Uttar Pradesh,BJP,312,403,77.42
Uttarakhand,BJP,57,70,81.43
