Party,State_Name,count,Assembly_No,Party_Seat,total,Party_Seat_Percentage
BJP,Goa,5,7,13,40,32.5
BJP,Manipur,5,12,21,60,35
BJP,Punjab,5,15,3,117,2.56
BJP,Uttar Pradesh,5,17,312,403,77.42
BJP,Uttarakhand,5,4,57,70,81.43
