,State_Name,Assembly_No,Constituency_No,count
0,Goa,7,[ 6  7 10 13 27 28 34 38],8
1,Manipur,12,[ 4  6  8 10 15 19 23 33 35 40 41 43],12
2,Punjab,15,"[  2   3   4   8  14  16  18  22  24  25  26  28  30  33  34  36  39  42
  45  46  47  48  50  52  54  58  60  66  67  68  69  70  71  73  75  80
  81  82  85  87  88  89  91  93  95  96  98 100 101 102 103 104 107 108
 112 113 114 116]",58
3,Uttar Pradesh,17,"[  1   4   5   6   7   8   9  10  12  13  15  16  17  19  22  23  25  27
  29  30  34  35  38  39  40  42  43  45  49  50  51  52  54  56  57  58
  59  60  61  62  66  67  68  70  73  74  75  76  77  80  81  84  85  87
  90  91  92  93  94  95  99 100 101 103 104 106 108 109 112 114 115 116
 119 123 128 129 131 136 137 138 142 145 146 147 148 149 150 153 154 155
 159 160 161 163 165 166 167 168 169 170 174 176 177 179 180 184 186 188
 189 190 194 195 203 204 205 208 211 213 215 219 220 222 225 226 229 230
 231 232 233 235 236 238 239 241 242 243 245 247 248 250 251 252 253 254
 255 256 258 259 261 265 266 267 268 269 270 273 274 276 278 279 282 289
 291 293 294 295 296 298 301 302 303 305 306 307 308 310 311 312 313 314
 317 318 319 321 323 324 325 326 327 332 333 339 340 341 342 344 345 346
 347 349 351 353 355 357 358 361 362 363 364 366 368 370 371 372 374 375
 376 377 379 380 383 384 385 386 387 389 390 391 393 394 395 396 397 398
 399 401 402 403]",238
4,Uttarakhand,4,[ 5  6  7  8  9 10 18 29 33 36 37 39 41 42 45 48 55 58 61 68],20
